stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1029,1029,"State / Ivanhoe (2)",,  42.122823, -72.542668,,,0,
103,103,"Jones Library (Out)",,  42.375904, -72.521288,,,0,
1030,1030,"Parker / Sunrise (2)",,  42.122615, -72.497503,,,0,
1031,1031,"Liberty / Phoenix",,  42.121751, -72.584177,,,0,
1032,1032,"Elm / Dingle (2)",,  42.121436, -72.627338,,,0,
1033,1033,"Court / Bates",,  42.119950, -72.756151,,,0,
1035,1035,"Bay / Edgewood",,  42.121765, -72.561791,,,0,
1036,1036,"Bay / Bertil Hammarlof",,  42.122839, -72.560696,,,0,
1037,1037,"Independence House",,  42.121700, -72.549337,,,0,
1038,1038,"Parker / Brewster",,  42.122193, -72.497776,,,0,
1039,1039,"Plainfield / Talcott",,  42.121087, -72.616006,,,0,
104,104,"Gray Street (In)",,  42.375965, -72.511279,,,0,
1040,1040,"State / Edgemont",,  42.121964, -72.544127,,,0,
1041,1041,"Main / George",,  42.119676, -72.743277,,,0,
1042,1042,"Carew/Nye",,  42.121234, -72.590014,,,0,
1043,1043,"Carew/Parkside",,  42.121120, -72.590531,,,0,
1044,1044,"Court / High",,  42.119352, -72.759345,,,0,
1046,1046,"Court / Mill",,  42.119220, -72.759283,,,0,
1049,1049,"Elm / Lower Grandview (2)",,  42.120360, -72.627493,,,0,
105,105,"Churchill Street",,  42.375886, -72.516554,,,0,
1051,1051,"Chestnut / Baystate Medical Center Drive",,  42.120544, -72.605243,,,0,
1052,1052,"Plainfield / Abbe (1)",,  42.120356, -72.615739,,,0,
1053,1053,"Chestnut / Baystate Medical Center",,  42.120345, -72.604985,,,0,
1054,1054,"State / Hillmont",,  42.121167, -72.544839,,,0,
1056,1056,"Main / Meadow",,  42.119181, -72.740289,,,0,
1058,1058,"Parker / Mallowhill",,  42.121315, -72.497896,,,0,
106,106,"Gray Street (Out)",,  42.375831, -72.511924,,,0,
1061,1061,"Kindred Hospital",,  42.120687, -72.545477,,,0,
1062,1062,"Plainfield / Abbe (2)",,  42.120345, -72.615609,,,0,
1063,1063,"Carew / Melha (2)",,  42.120245, -72.592485,,,0,
1064,1064,"Carew / Melha (1)",,  42.120119, -72.592470,,,0,
1065,1065,"Bay/Oak Grove (across)",,  42.120073, -72.563426,,,0,
1066,1066,"Main/Cumberland",,  42.119908, -72.608199,,,0,
1067,1067,"Elm / Lower Grandview (3)",,  42.119676, -72.627430,,,0,
1068,1068,"Main/Cumberland(opposite)",,  42.119629, -72.608242,,,0,
1069,1069,"Main / Noble",,  42.118184, -72.736920,,,0,
107,107,"Lincoln Avenue (Out)",,  42.375733, -72.523918,,,0,
1070,1070,"Bay / Oak Grove",,  42.120294, -72.563107,,,0,
1075,1075,"State / Clarence",,  42.119965, -72.545886,,,0,
1077,1077,"Chestnut / Waverly",,  42.119303, -72.604580,,,0,
1078,1078,"Parker / Burns",,  42.120262, -72.498379,,,0,
1079,1079,"State / Blunt Park",,  42.119670, -72.546328,,,0,
108,108,"Aspen Chase Apts (In)",,  42.375824, -72.507237,,,0,
1080,1080,"Elm / Larone (1)",,  42.118693, -72.627667,,,0,
1081,1081,"Chestnut / Pratt",,  42.118975, -72.604050,,,0,
1083,1083,"Plainfield / Clayton",,  42.118769, -72.614878,,,0,
1084,1084,"Blunt Park / State",,  42.119425, -72.548216,,,0,
1089,1089,"Elm / Larone (2)",,  42.118497, -72.627559,,,0,
109,109,"Aspen Chase Apts (Out)",,  42.375706, -72.507403,,,0,
1091,1091,"Plainfield / Clayton (opposite)",,  42.118678, -72.614726,,,0,
1093,1093,"Main/Portland",,  42.118595, -72.607812,,,0,
1097,1097,"Main opposite Portland",,  42.118493, -72.607607,,,0,
11,11,"Cliffside Apts",,  42.452232, -72.563593,,,0,
110,110,"Amherst Town Hall",,  42.375613, -72.519342,,,0,
1100,1100,"Parker / Vincent",,  42.119271, -72.498551,,,0,
11003,11003,"Holyoke High School",,  42.200714, -72.623224,,,0,
1101,1101,"State / Blunt Park",,  42.118686, -72.546951,,,0,
11011,11011,"Jarvis and Easthampton",,  42.219908, -72.639590,,,0,
1103,1103,"Carew/Algonquin(opposite)",,  42.118077, -72.594920,,,0,
1104,1104,"Chestnut / Chapin",,  42.117959, -72.603105,,,0,
1105,1105,"Carew/Algonquin",,  42.118056, -72.594802,,,0,
1106,1106,"Bay / Clifford",,  42.118374, -72.564987,,,0,
1107,1107,"Putnam High School",,  42.117745, -72.548214,,,0,
1109,1109,"Chestnut / Calhoun",,  42.117957, -72.602915,,,0,
111,111,"Heatherstone Road (Out)",,  42.375848, -72.481193,,,0,
1110,1110,"Sanderson / Sanderson",,  42.117799, -72.614473,,,0,
11101,11101,"Heatherstone Road (In)",,  42.376103, -72.481141,,,0,
11115,11115,"Cherry and Homestead (1)",,  42.201157, -72.642503,,,0,
11116,11116,"Homestead and Cherry",,  42.201009, -72.642222,,,0,
11117,11117,"Main and Sargent(Holyoke Tripper)",,  42.197915, -72.609233,,,0,
1112,1112,"Sanderson / Whiting (opposite)",,  42.117693, -72.616285,,,0,
11124,11124,"Main and Sargent(Holyoke Tripper)",,  42.197465, -72.609680,,,0,
1113,1113,"Sanderson / Whiting",,  42.117615, -72.616231,,,0,
1114,1114,"Bay / Princeton",,  42.117846, -72.565631,,,0,
1117,1117,"Sanderson / Division (1)",,  42.117466, -72.617800,,,0,
1119,1119,"Elm / Sheaffer",,  42.117225, -72.627769,,,0,
112,112,"Amherst Common (N)",,  42.374578, -72.519759,,,0,
1120,1120,"Sanderson / Division",,  42.117278, -72.617743,,,0,
1121,1121,"MassMutual",,  42.117633, -72.545465,,,0,
1125,1125,"Wilbraham / Bellwood",,  42.117710, -72.516885,,,0,
1126,1126,"State / Insurance",,  42.117413, -72.548313,,,0,
1127,1127,"Main / Hooker",,  42.116791, -72.607011,,,0,
1128,1128,"Main / E. Hooker",,  42.116808, -72.606885,,,0,
1129,1129,"Wilbraham / Pineview",,  42.117696, -72.514934,,,0,
113,113,"Amherst Common (S)",,  42.374456, -72.519947,,,0,
1130,1130,"Elm / Eldridge",,  42.116639, -72.627408,,,0,
1131,1131,"Wilbraham / Granger",,  42.117656, -72.512733,,,0,
1132,1132,"Wilbraham / Denwall",,  42.117602, -72.514579,,,0,
1133,1133,"Wilbraham / Catalpa",,  42.117629, -72.510548,,,0,
1134,1134,"Wilbraham / Jonquil",,  42.117556, -72.512366,,,0,
1135,1135,"Wilbraham and Fenway (Northside)",,  42.117584, -72.507831,,,0,
1136,1136,"Wilbraham / Birchland",,  42.117551, -72.510816,,,0,
1137,1137,"Carew/ Cass and Desrosiers",,  42.116775, -72.595132,,,0,
1139,1139,"Liberty / Ledyard",,  42.116765, -72.584749,,,0,
114,114,"Amity Place (Out)",,  42.374069, -72.531565,,,0,
1140,1140,"Wilbraham and Jeffrey (Southside)",,  42.117511, -72.508451,,,0,
1142,1142,"Wilbraham / Lumae (2)",,  42.117531, -72.504358,,,0,
1143,1143,"Carew / Bartlett",,  42.116658, -72.595304,,,0,
1144,1144,"Chestnut / Bancroft",,  42.116552, -72.601294,,,0,
1145,1145,"Wilbraham / Lumae (1)",,  42.117424, -72.504431,,,0,
1147,1147,"Sci Tech High School",,  42.116878, -72.549121,,,0,
1149,1149,"Liberty / Genesee (2)",,  42.116602, -72.584894,,,0,
115,115,"Amherst Glass (In)",,  42.376288, -72.501420,,,0,
1151,1151,"Bay / Bowles",,  42.116342, -72.567034,,,0,
1152,1152,"Sanderson / Division (2)",,  42.115979, -72.617784,,,0,
1153,1153,"E Main / Delmont",,  42.114406, -72.727518,,,0,
1154,1154,"E Main / Westgate Plaza Dr",,  42.114632, -72.729652,,,0,
1156,1156,"Parker / Ramp",,  42.116945, -72.498964,,,0,
1157,1157,"Main / Huntington",,  42.115867, -72.606594,,,0,
1158,1158,"Clyde / Sanderson",,  42.115783, -72.617591,,,0,
116,116,"Amherst College",,  42.373071, -72.518820,,,0,
1161,1161,"Mercy Hospital",,  42.116215, -72.593446,,,0,
1162,1162,"Wilbraham / Park (2)",,  42.116634, -72.521076,,,0,
1167,1167,"Wilbraham / Park (1)",,  42.116419, -72.521685,,,0,
1168,1168,"Bay / Dartmouth",,  42.116231, -72.567012,,,0,
117,117,"Oak Knoll Street (Out)",,  42.371646, -72.480099,,,0,
11701,11701,"Oak Knoll Street (In)",,  42.371657, -72.480014,,,0,
1176,1176,"State / Berlin",,  42.115573, -72.551748,,,0,
1177,1177,"Duggan Middle School (2)",,  42.116019, -72.525070,,,0,
1178,1178,"Wilbraham / Kane (2)",,  42.116131, -72.500354,,,0,
1179,1179,"Clyde / Plainfield",,  42.115180, -72.612619,,,0,
118,118,"Colonial Village Apts (In)",,  42.370291, -72.499144,,,0,
1181,1181,"Clyde / Plainfield (2)",,  42.115064, -72.612732,,,0,
1183,1183,"Duggan Middle School (1)",,  42.115846, -72.525177,,,0,
1184,1184,"Wilbraham / Kane (1)",,  42.115922, -72.500254,,,0,
1185,1185,"Chestnut / Hebron",,  42.115089, -72.599359,,,0,
1186,1186,"Parker / Wilbraham",,  42.115836, -72.498663,,,0,
1187,1187,"Main / Sheldon",,  42.114936, -72.606240,,,0,
119,119,"Colonial Village Apts (Out)",,  42.370193, -72.499070,,,0,
1193,1193,"Clyde Street (2)",,  42.114909, -72.614557,,,0,
1194,1194,"State / Dearborn",,  42.115299, -72.552158,,,0,
1195,1195,"Clyde / M (1)",,  42.114633, -72.616424,,,0,
1197,1197,"Carew / Massasoit",,  42.114827, -72.595813,,,0,
12,12,"Amherst Grove",,  42.451567, -72.562870,,,0,
120,120,"Colonial Village Apts / South East Street (In)",,  42.369397, -72.501637,,,0,
1200,1200,"Main / Jefferson",,  42.114526, -72.605920,,,0,
1201,1201,"State / Cortland",,  42.114945, -72.553693,,,0,
1205,1205,"Elm / Kings",,  42.114207, -72.625291,,,0,
1206,1206,"Wilbraham / Barrison (2)",,  42.114944, -72.528020,,,0,
1207,1207,"State / Dresden",,  42.114698, -72.553993,,,0,
1208,1208,"Dwight / Osgood",,  42.115175, -72.602794,,,0,
1209,1209,"Elm / Witch",,  42.113957, -72.625329,,,0,
121,121,"Colonial Village Apts / South East Street (Out)",,  42.369302, -72.501717,,,0,
1210,1210,"Wilbraham / Barrison (1)",,  42.114870, -72.527969,,,0,
1211,1211,"Bay / Buckingham (1)",,  42.114227, -72.568957,,,0,
1213,1213,"Bay / Buckingham (2)",,  42.114465, -72.568630,,,0,
1214,1214,"Plainfield / Orchard (opposite)",,  42.113902, -72.610822,,,0,
1216,1216,"Wilbraham / Delmore",,  42.114645, -72.529887,,,0,
1220,1220,"Plainfield / Orchard",,  42.113754, -72.610840,,,0,
1221,1221,"State/Maynard",,  42.114285, -72.555731,,,0,
1222,1222,"Carew/Chestnut (2)",,  42.113913, -72.596518,,,0,
1225,1225,"Carew/Chestnut (1)",,  42.113869, -72.596408,,,0,
1228,1228,"Wilbraham / Walsh",,  42.114355, -72.531012,,,0,
123,123,"Amherst Community Health Ctr (Out)",,  42.368641, -72.533570,,,0,
1232,1232,"Chestnut / Sherrington",,  42.113658, -72.597436,,,0,
1233,1233,"Main / Bancroft",,  42.113547, -72.605447,,,0,
1234,1234,"Wilbraham / Monticello (2)",,  42.114221, -72.532817,,,0,
1235,1235,"Dwight / Hebron",,  42.113576, -72.601323,,,0,
1236,1236,"Wilbraham / Monticello (1)",,  42.114130, -72.532868,,,0,
1239,1239,"Westfield Shops",,  42.112221, -72.723938,,,0,
124,124,"Amherst Community Health Ctr (In)",,  42.368740, -72.533310,,,0,
1240,1240,"Wilbraham / Truman (2)",,  42.114058, -72.535016,,,0,
1242,1242,"Wilbraham / Truman (1)",,  42.113982, -72.534518,,,0,
1246,1246,"Wilbraham / Unnamed Street (2)",,  42.113785, -72.538469,,,0,
1249,1249,"Wilbraham / Unnamed Street (1)",,  42.113691, -72.538389,,,0,
125,125,"Big Y - Amherst",,  42.367782, -72.534806,,,0,
1253,1253,"State / Mapledell",,  42.113347, -72.558753,,,0,
1254,1254,"75 Springfield Rd",,  42.111680, -72.711815,,,0,
1255,1255,"Wilbraham / Alden (1)",,  42.113203, -72.542749,,,0,
1257,1257,"Plainfield / Lowell",,  42.112716, -72.610102,,,0,
1258,1258,"Springfield / Planet Fitness Dr",,  42.110761, -72.709930,,,0,
1259,1259,"Wilbraham / Norfolk (2)",,  42.113128, -72.550327,,,0,
126,126,"Stony Hill Road (Out)",,  42.367574, -72.479801,,,0,
1260,1260,"Plainfield / Lowell (opposite)",,  42.112564, -72.609907,,,0,
12601,12601,"Stony Hill Road (In)",,  42.367475, -72.479757,,,0,
1261,1261,"Wilbraham / Carlisle",,  42.113152, -72.549174,,,0,
1263,1263,"American International College (1)",,  42.113793, -72.556819,,,0,
1264,1264,"Wilbraham / Norfolk (1)",,  42.112998, -72.550673,,,0,
1265,1265,"Wilbraham / Alden (2)",,  42.113066, -72.543067,,,0,
1266,1266,"Bay/Westminster (In)",,  42.112791, -72.570268,,,0,
1267,1267,"Main opposite Morgan",,  42.112414, -72.604495,,,0,
1268,1268,"Worthington / Federal",,  42.112699, -72.580130,,,0,
1269,1269,"Bay / Westminster",,  42.112943, -72.570030,,,0,
127,127,"Stop and Shop - Hadley",,  42.365715, -72.538760,,,0,
1270,1270,"Carew/Dwight (4)",,  42.112449, -72.598492,,,0,
1271,1271,"Wilbraham / Suffolk (2)",,  42.112839, -72.552317,,,0,
1273,1273,"MLK Community Center (Inbound)",,  42.112706, -72.560698,,,0,
1274,1274,"Carew/Dwight (3)",,  42.112315, -72.598499,,,0,
1275,1275,"Wilbraham / Lakeside",,  42.112823, -72.544634,,,0,
1276,1276,"Wilbraham / Benton",,  42.112798, -72.546189,,,0,
1277,1277,"Elm / Rochelle (1)",,  42.112095, -72.625024,,,0,
1278,1278,"Wilbraham / Suffolk (1)",,  42.112728, -72.552554,,,0,
128,128,"Greenleaves Drive",,  42.365369, -72.535493,,,0,
1280,1280,"Dwight / Grosvenor",,  42.112205, -72.599751,,,0,
1281,1281,"MLK Community Center",,  42.112560, -72.560701,,,0,
1283,1283,"Wilbraham / Reed",,  42.112477, -72.554327,,,0,
1284,1284,"Wilbraham / Rochelle",,  42.112466, -72.555041,,,0,
1285,1285,"Elm / Rochelle (2)",,  42.111716, -72.624919,,,0,
1287,1287,"Chestnut / Stafford",,  42.112063, -72.595756,,,0,
1288,1288,"Worthington / Kibbe",,  42.111931, -72.583079,,,0,
129,129,"Emerson Court (Out)",,  42.365114, -72.484263,,,0,
1290,1290,"Carew/Dwight (2)",,  42.111274, -72.598625,,,0,
12901,12901,"Emerson Court (In)",,  42.365067, -72.484289,,,0,
1291,1291,"Western Mass Hospital",,  42.110809, -72.701296,,,0,
1292,1292,"Wilbraham / Albemarle",,  42.112203, -72.556335,,,0,
1296,1296,"Main/Church",,  42.111217, -72.602844,,,0,
1297,1297,"AIC (Wilbraham Rd)",,  42.111985, -72.558451,,,0,
1299,1299,"State / Hayden",,  42.112121, -72.562043,,,0,
13,13,"Bull Hill Road",,  42.446533, -72.554709,,,0,
130,130,"Russell/Campus Plaza (Pride)",,  42.363756, -72.538718,,,0,
1300,1300,"American International College (2)",,  42.111898, -72.558506,,,0,
1301,1301,"Carew/Dwight (1)",,  42.111453, -72.599663,,,0,
1302,1302,"MLK Community Center (Wilbraham Road)",,  42.111739, -72.560206,,,0,
1304,1304,"Magazine / Bowdoin",,  42.111580, -72.576099,,,0,
1306,1306,"Worthington / Extract",,  42.111600, -72.583346,,,0,
1307,1307,"Magazine / Lincoln (1)",,  42.111571, -72.576228,,,0,
1309,1309,"Mason Square",,  42.111357, -72.564970,,,0,
131,131,"Gatehouse Road (Out)",,  42.363345, -72.488541,,,0,
13101,13101,"Gatehouse Road (In)",,  42.363303, -72.488333,,,0,
1311,1311,"Wilbraham / Colton (2)",,  42.111403, -72.562765,,,0,
1314,1314,"State / Eastern",,  42.111737, -72.563206,,,0,
1315,1315,"Wilbraham / Colton (1)",,  42.111217, -72.563230,,,0,
1316,1316,"Plainfield / John (opposite)",,  42.110689, -72.603458,,,0,
1317,1317,"West / Riverside",,  42.110581, -72.611304,,,0,
1319,1319,"Plainfield / John",,  42.110573, -72.603509,,,0,
132,132,"Memorial Drive (Out)",,  42.362315, -72.520845,,,0,
1320,1320,"Worthington / Sackett (1)",,  42.110209, -72.585151,,,0,
1321,1321,"Worthington / Sackett (3)",,  42.110556, -72.584932,,,0,
1322,1322,"West / Us Hwy 20",,  42.110362, -72.611267,,,0,
1323,1323,"Mason Square (Inbound)",,  42.110691, -72.567249,,,0,
1325,1325,"Magazine / Lincoln (3)",,  42.110543, -72.574992,,,0,
1326,1326,"Magazine / Lincoln (2)",,  42.110734, -72.575312,,,0,
1327,1327,"Mason Square",,  42.110482, -72.567104,,,0,
1328,1328,"State/Thompson",,  42.110224, -72.569677,,,0,
1329,1329,"Elm / Field",,  42.109836, -72.624825,,,0,
133,133,"Memorial Drive (In)",,  42.362615, -72.520705,,,0,
1330,1330,"Bay / Saint James (2)",,  42.110203, -72.573587,,,0,
1331,1331,"Bay / Saint James (1)",,  42.110140, -72.573838,,,0,
1332,1332,"State/Hancock",,  42.110089, -72.569513,,,0,
1334,1334,"Main/Carew",,  42.109751, -72.601001,,,0,
1335,1335,"Main / St. George (1)",,  42.109784, -72.601440,,,0,
1336,1336,"Elm / Elmwood",,  42.109539, -72.624337,,,0,
1338,1338,"Hancock / State",,  42.109632, -72.568841,,,0,
1339,1339,"State/Stebbins",,  42.109732, -72.571653,,,0,
134,134,"Rolling Green Apts (Out)",,  42.362898, -72.488774,,,0,
1340,1340,"State / St James",,  42.109597, -72.573353,,,0,
1341,1341,"State / Orleans",,  42.109477, -72.573123,,,0,
1345,1345,"Springfield / Mountain (1)",,  42.107765, -72.703482,,,0,
1346,1346,"Worthington / Worthington",,  42.108930, -72.586669,,,0,
1347,1347,"Springfield / Planet Fitness Dr",,  42.110551, -72.710005,,,0,
135,135,"Rolling Green Apts (In)",,  42.362228, -72.488033,,,0,
1350,1350,"Technology Park",,  42.108868, -72.575445,,,0,
1351,1351,"Hancock / Monroe",,  42.108941, -72.568824,,,0,
1352,1352,"Westfield Walmart",,  42.107441, -72.708162,,,0,
1353,1353,"Westfield / Old Westfield",,  42.107435, -72.688634,,,0,
1354,1354,"Worthington / Spring (1)",,  42.108444, -72.587384,,,0,
1355,1355,"Elm / Mosher",,  42.108008, -72.623747,,,0,
1356,1356,"Westfield / Old Westfield",,  42.107466, -72.687480,,,0,
1357,1357,"Worthington / Spring (2)",,  42.108242, -72.587468,,,0,
1358,1358,"State / Walnut",,  42.108364, -72.576042,,,0,
1359,1359,"Westford / Middlesex (1)",,  42.108373, -72.552241,,,0,
136,136,"Russell/Russell (Staples)",,  42.361221, -72.543786,,,0,
1360,1360,"Norfolk / Westford Circle",,  42.108509, -72.549426,,,0,
1361,1361,"Westford / Middlesex (2)",,  42.108293, -72.552490,,,0,
1363,1363,"Westford / Albemarle",,  42.108094, -72.555353,,,0,
1365,1365,"Westford / Braddock",,  42.107981, -72.554659,,,0,
1366,1366,"Westford / Gunn (2)",,  42.107971, -72.558282,,,0,
1367,1367,"Westfield / Nelson (1)",,  42.107030, -72.648359,,,0,
1369,1369,"Westford / Massachusetts (2)",,  42.107933, -72.557054,,,0,
137,137,"Russell/Rte 9 (Holiday Inn Express)",,  42.359993, -72.546735,,,0,
1371,1371,"Elm / Westfield",,  42.107225, -72.622693,,,0,
1372,1372,"Hancock / Quincy",,  42.107699, -72.568457,,,0,
1374,1374,"Westfield / Nelson (2)",,  42.106891, -72.648672,,,0,
1375,1375,"Westford / Massachusetts (1)",,  42.107686, -72.557520,,,0,
1376,1376,"Westfield / Woodmont",,  42.106801, -72.650215,,,0,
1377,1377,"Walnut / State (2)",,  42.107603, -72.576654,,,0,
1378,1378,"Westfield / Cedar (1)",,  42.106814, -72.645425,,,0,
1379,1379,"Westfield / Elm",,  42.106899, -72.623708,,,0,
138,138,"Logtown Road (In)",,  42.356848, -72.482410,,,0,
1380,1380,"Elm / Westfield",,  42.106806, -72.622938,,,0,
1381,1381,"Walnut / State (1)",,  42.107338, -72.576106,,,0,
1382,1382,"Westfield / Van Horn",,  42.106546, -72.650924,,,0,
1383,1383,"Westfield / Cedar (2)",,  42.106605, -72.645114,,,0,
1385,1385,"Westfield / Talcott",,  42.106419, -72.652566,,,0,
1386,1386,"Westford / Gunn (1)",,  42.107204, -72.558270,,,0,
1387,1387,"Commerce High School (opposite)",,  42.107198, -72.578774,,,0,
1388,1388,"Westfield / Harwich",,  42.106248, -72.652764,,,0,
139,139,"Logtown Road (Out)",,  42.356496, -72.481960,,,0,
1390,1390,"Park / Lathrop",,  42.106485, -72.618961,,,0,
1391,1391,"Main / Park",,  42.106486, -72.616451,,,0,
1392,1392,"Westfield / Van Deene (3)",,  42.106296, -72.625117,,,0,
1395,1395,"Worthington / Chestnut (1)",,  42.106544, -72.589497,,,0,
1396,1396,"Park / Main",,  42.106125, -72.617865,,,0,
1398,1398,"Worthington / Chestnut (2)",,  42.106470, -72.589755,,,0,
1399,1399,"Main / Bliss",,  42.106236, -72.615918,,,0,
14,14,"Laurenitis Farm Stand (Out)",,  42.442226, -72.551334,,,0,
140,140,"Hampshire Mall",,  42.355901, -72.550130,,,0,
1400,1400,"Middlesex / King",,  42.106793, -72.551351,,,0,
1401,1401,"Walnut / Union (2)",,  42.106525, -72.575050,,,0,
1402,1402,"Hancock / Tyler",,  42.106518, -72.568220,,,0,
1403,1403,"Westfield / Maple (2)",,  42.105797, -72.642914,,,0,
1404,1404,"Westfield / Van Deene (1)",,  42.105934, -72.626740,,,0,
1405,1405,"Walnut / Union (1)",,  42.106470, -72.574827,,,0,
1406,1406,"Westfield / Maple (1)",,  42.105849, -72.642742,,,0,
1407,1407,"Westfield / Altamont",,  42.105595, -72.659408,,,0,
1408,1408,"Westfield / Ely",,  42.105560, -72.658029,,,0,
1409,1409,"Park / Elm",,  42.105957, -72.620050,,,0,
1411,1411,"Westfield / Van Deene (2)",,  42.105830, -72.626649,,,0,
1412,1412,"Westfield / Thompson",,  42.105431, -72.660999,,,0,
1413,1413,"Conservatory of the Arts",,  42.105812, -72.580639,,,0,
1414,1414,"Westfield / Brookline",,  42.105424, -72.656782,,,0,
1416,1416,"Taylor / Dwight",,  42.105989, -72.591457,,,0,
1417,1417,"Westford / King",,  42.106339, -72.558240,,,0,
1418,1418,"Walnut / Oak (2)",,  42.105671, -72.573789,,,0,
1419,1419,"Hancock / Pendleton",,  42.105871, -72.568207,,,0,
142,142,"Mountain Farms Mall",,  42.355389, -72.552008,,,0,
1421,1421,"King / Westford",,  42.105907, -72.558373,,,0,
1423,1423,"Walnut / Oak (1)",,  42.105756, -72.573762,,,0,
1424,1424,"King / Wilbraham (2)",,  42.105811, -72.559774,,,0,
1426,1426,"King / Wilbraham (1)",,  42.105736, -72.559858,,,0,
1427,1427,"Westfield / Silver (1)",,  42.104973, -72.641055,,,0,
1428,1428,"Park / Union",,  42.105137, -72.619800,,,0,
1429,1429,"King / Logan",,  42.105644, -72.561248,,,0,
143,143,"Leeds",,  42.353517, -72.699925,,,0,
1431,1431,"Westfield / Laurel",,  42.104687, -72.663463,,,0,
1432,1432,"Westfield / Mercury (1)",,  42.104910, -72.629831,,,0,
1433,1433,"Westfield / Sherwood",,  42.104519, -72.664843,,,0,
1434,1434,"King / Logan",,  42.105555, -72.561347,,,0,
1436,1436,"Westfield / Beverly Hills",,  42.104411, -72.672537,,,0,
1437,1437,"Main / Fairview (2)",,  42.104848, -72.614090,,,0,
1438,1438,"Westfield / Silver (2)",,  42.104677, -72.640719,,,0,
1439,1439,"Westfield / Sibley",,  42.104332, -72.675375,,,0,
144,144,"Russell/Russell (The Stables)",,  42.354658, -72.557221,,,0,
1440,1440,"King / Eastern (2)",,  42.105409, -72.563263,,,0,
1441,1441,"Westfield / Ohio (1)",,  42.104409, -72.669733,,,0,
1442,1442,"Westfield / Mercury (2)",,  42.104872, -72.629625,,,0,
1443,1443,"Main / Fairview (1)",,  42.104897, -72.613932,,,0,
1444,1444,"Westfield / Hathorne",,  42.104188, -72.676169,,,0,
1445,1445,"State/Spring",,  42.105141, -72.582035,,,0,
1446,1446,"King / Merrick (2)",,  42.105263, -72.564538,,,0,
1447,1447,"Westfield / Ohio (2)",,  42.104219, -72.669664,,,0,
1448,1448,"Westfield / Poplar",,  42.104225, -72.666762,,,0,
1449,1449,"King / Merrick (1)",,  42.105170, -72.564571,,,0,
145,145,"Mill Lane (In)",,  42.354946, -72.520665,,,0,
1451,1451,"King and Hancock",,  42.104908, -72.567533,,,0,
1452,1452,"King / Hancock",,  42.104823, -72.567610,,,0,
1453,1453,"608 Westfield St",,  42.104009, -72.633681,,,0,
1454,1454,"State / School",,  42.104680, -72.582416,,,0,
1455,1455,"Walnut / King",,  42.104803, -72.572363,,,0,
1456,1456,"Westfield / Pleasant",,  42.103730, -72.634536,,,0,
1457,1457,"Dwight / Harrison",,  42.104095, -72.589053,,,0,
1458,1458,"Westfield / Summit",,  42.103566, -72.636144,,,0,
146,146,"Russell/Russell (Whole Foods)",,  42.354684, -72.556942,,,0,
1463,1463,"Main / Church (2)",,  42.103743, -72.612427,,,0,
1464,1464,"Main / Church (1)",,  42.103664, -72.612095,,,0,
1466,1466,"Worthington / Main",,  42.103895, -72.592674,,,0,
1467,1467,"Main / Worthington",,  42.103686, -72.592632,,,0,
147,147,"Columbia Drive (In)",,  42.354207, -72.521938,,,0,
1470,1470,"Walnut / James",,  42.104284, -72.571757,,,0,
1474,1474,"Main / Bridge",,  42.103273, -72.591800,,,0,
1475,1475,"Main and Harrison",,  42.103220, -72.589525,,,0,
